"cname","sname","Sequence","Order","Suborder","Infraorder","Family","Genus","Adult.survival","Age.at.first.breeding","Maximum.longevity","Z","GenFLS","GenFL","GenFS","GenLength","Priority.for.research","rmax1","perc_growth","resid"
"Scintillant Hummingbird","Selasphorus scintilla",1562,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Selasphorus",0.509674018,0.917981474,6.640227957,0.142143345,1.894339037,1.73136073,1.957441011,1.894339037,"Low",0.41192401329412,50.9719713342271,0.00408047393555155
"Brown Shrike","Lanius cristatus",6867,"PASSERIFORMES","PASSERI","CORVOID OSCINES","Laniidae","Lanius",0.491009875,0.945523905,7.621191767,0.142143345,1.883079072,1.894425665,1.910198563,1.894425665,"Low",0.41194649223441,50.9753650622997,0.00404898618737254
"Eastern White-throated Spadebill","Platyrinchus mystaceus",5441,"PASSERIFORMES","TYRANNI","NEW WORLD SUBOSCINES","Tyrannidae","Platyrinchus",0.51,1.144208007,4,0.142143345,1.89478073,1.550139834,2.185024334,1.89478073,"Low",0.372278145291846,45.1036524146273,0.0436804128374016
"Tawny-breasted Flycatcher","Myiobius villosus",5393,"PASSERIFORMES","TYRANNI","NEW WORLD SUBOSCINES","Tityridae","Myiobius",0.474782104,0.99016477,7.399282202,0.142143345,1.855860439,1.90117816,1.89413645,1.90117816,"Low",0.407892286299831,50.3645189259895,0.00740226460601412
"Violet-capped Hummingbird","Goldmania violiceps",1502,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Goldmania",0.524389124,0.881576624,6.955491845,0.142143345,1.906968137,1.744943251,1.984135776,1.906968137,"Low",0.414673247385265,51.387599692666,2.23103753222431e-05
"Pacific Wren","Troglodytes pacificus",8566,"PASSERIFORMES","PASSERI","CERTHIOD OSCINES","Troglodytidae","Troglodytes",0.3825,1,7.416666667,0.142143345,1.611037851,1.912086464,1.619433198,1.912086464,"Low",0.428864352368162,53.5512731604079,-0.014696759561223
"Northern Parula","Setophaga americana",10574,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Parulidae","Setophaga",0.491,1,7.31626108,0.142143345,1.916144929,1.897814478,1.964636542,1.916144929,"Low",0.401712004371995,49.4380895532522,0.012037973641064
"Northern Grey Shrike","Lanius borealis",6882,"PASSERIFORMES","PASSERI","CORVOID OSCINES","Laniidae","Lanius",0.47,0.991943358,7.517037037,0.142143345,1.859641315,1.919442,1.878735811,1.919442,"Low",0.408826113205948,50.5049989412883,0.00458526020643374
"Yellow-crowned Bishop","Euplectes afer",9609,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Ploceidae","Euplectes",0.464315005,0.885787768,8.162972295,0.142143345,1.735237178,1.920191119,1.752556502,1.920191119,"High",0.431476619558435,53.952914482135,-0.0181420970407978
"Southern Rough-winged Swallow","Stelgidopteryx ruficollis",7730,"PASSERIFORMES","PASSERI","SYLVIOID OSCINES","Hirundinidae","Stelgidopteryx",0.505657199,1,6.014340125,0.142143345,1.92088556,1.712755078,2.022887757,1.92088556,"Low",0.397685592911305,48.8376000370071,0.0155777152968837
